ISO3,Subregion,net.value2021,crop21_op
AGO,Middle Africa,-45.883229044,1
BDI,Eastern Africa,-21.144778555,2
BEN,Western Africa,-13.795940370999999,3
BFA,Western Africa,-22.447662574000002,3
BWA,Southern Africa,-321.35794883100004,1
CAF,Middle Africa,-0.26227513399999997,4
CIV,Western Africa,15.665437463000004,3
CMR,Middle Africa,-10.506139247,1
COD,Middle Africa,-20.511715962,2
COG,Middle Africa,-5.595093514,1
COM,Eastern Africa,-4.4989908530000005,4
CPV,Western Africa,-0.18663049599999998,3
DJI,Eastern Africa,-91.80589263899999,5
DZA,Northern Africa,-9.619403430999995,4
EGY,Northern Africa,507.69166312300007,4
ERI,Eastern Africa,-0.39261423100000004,1
ETH,Eastern Africa,432.3036598,5
GAB,Middle Africa,-7.169713326,1
GHA,Western Africa,-42.38569695399998,3
GIN,Western Africa,-17.419819887,4
GMB,Western Africa,-3.145787785,3
GNB,Western Africa,-8.761950587,3
GNQ,Middle Africa,-0.188372751,4
KEN,Eastern Africa,-206.09410836,2
LBR,Western Africa,-3.076155801,4
LBY,Northern Africa,-152.95392938,4
LSO,Southern Africa,-96.18570642300001,1
MAR,Northern Africa,-53.86122279299998,4
MDG,Eastern Africa,-55.448336668,4
MLI,Western Africa,-74.06963527100001,3
MOZ,Eastern Africa,-102.18381437400001,1
MRT,Western Africa,-86.43597640200001,4
MUS,Eastern Africa,-7.538113037999999,1
MWI,Eastern Africa,1.1713777139999983,1
NAM,Southern Africa,-196.416348961,1
NER,Western Africa,-17.553197290999996,3
NGA,Western Africa,-56.006216307,3
RWA,Eastern Africa,-95.427737493,2
SDN,Northern Africa,-103.880499468,4
SEN,Western Africa,41.224228096000004,3
SLE,Western Africa,-2.7758235680000003,5
SOM,Eastern Africa,-403.475213213,5
SSD,Eastern Africa,-32.180969436,2
STP,Middle Africa,-0.30032216899999997,4
SWZ,Southern Africa,-72.969661801,1
SYC,Eastern Africa,-8.353484229000003,4
TCD,Middle Africa,-3.1388721659999996,4
TGO,Western Africa,8.725606175,3
TUN,Northern Africa,129.27607531899997,4
TZA,Eastern Africa,522.528533825,2
UGA,Eastern Africa,-227.51758137899998,2
ZAF,Southern Africa,1296.1795555780002,1
ZMB,Eastern Africa,-5.024284978000011,1
ZWE,Eastern Africa,-244.81926995199996,1
