xcoord,ycoord
-0.959358304018157,-9.3755093916522
-0.9411732779278,-9.95252645779888
-1.26263542943769,-9.53757468407185
-0.985398596832025,-9.18260878300626
-1.18152643077898,-9.38439888501135
-1.60795302950029,-9.86243152337042
-1.06460001501715,-9.95507613773393
-1.12102366625799,-10.0676285445451
-1.42485342675512,-9.41299201466635
-1.58608298718079,-9.63158830056291
-1.0011234073712,-9.86947211043667
-1.13160310086565,-9.89410579194894
-1.0087289988539,-9.4467183505224
-1.13568221414579,-9.51628553547062
-1.07925856290495,-9.35318140825743
-1.75739831868353,-9.83575521607465
-1.4036945575398,-9.26991941461326
-0.842984523333916,-9.34238270397266
-1.21271209952436,-9.9908948323273
-0.902934652777314,-9.26005803145219
-1.55237914410896,-9.83946290305496
-1.17447347437387,-9.03565370385626
-0.800666784903283,-9.21883949141269
-1.28379429865301,-9.28198659759267
-1.03902296184754,-9.28764223106574
-1.36842977551428,-9.52473246209358
-1.07349576792894,-9.22518008253025
-0.985398596832025,-9.23656382933076
-1.50224782495605,-9.75514526724632
-1.30142668966577,-9.40911772119554
-1.30142668966577,-9.10364611191216
-0.9411732779278,-10.0548619946411
-1.22329153413202,-9.82162937303496
-0.874722827156891,-9.12348942647091
-1.07925856290495,-9.35434511714983
-1.16389403976622,-9.2741496512791
-1.50224782495605,-9.70167733487682
-0.987570129638579,-9.02616709955559
-1.06460001501715,-9.7715675118825
-1.68814318467178,-9.71011722776917
-1.07003407369329,-9.10931549267963
-1.10394391032282,-9.43840217468163
-1.151143072352,-9.16019036765424
